Timestamp,Emotion,Image_Path
20251003_230554621408,Sad,captures/face_20251003_230554621408.jpg
20251003_230554917334,Happy,captures/face_20251003_230554917334.jpg
20251003_230555115665,Happy,captures/face_20251003_230555115665.jpg
20251003_230555293735,Sad,captures/face_20251003_230555293735.jpg
20251003_230555643115,Sad,captures/face_20251003_230555643115.jpg
20251003_230555821614,Sad,captures/face_20251003_230555821614.jpg
20251003_230555955665,Sad,captures/face_20251003_230555955665.jpg
20251003_230556063393,Sad,captures/face_20251003_230556063393.jpg
20251003_230556173936,Happy,captures/face_20251003_230556173936.jpg
20251003_230557925265,Sad,captures/face_20251003_230557925265.jpg
20251003_230558093819,Sad,captures/face_20251003_230558093819.jpg
20251003_230558268799,Sad,captures/face_20251003_230558268799.jpg
20251003_230558381542,Sad,captures/face_20251003_230558381542.jpg
20251003_230558509772,Happy,captures/face_20251003_230558509772.jpg
20251003_230558611171,Sad,captures/face_20251003_230558611171.jpg
20251003_230558710101,Happy,captures/face_20251003_230558710101.jpg
20251003_230558846815,Sad,captures/face_20251003_230558846815.jpg
20251003_230558992272,Happy,captures/face_20251003_230558992272.jpg
20251003_230559130446,Happy,captures/face_20251003_230559130446.jpg
20251003_230559264728,Happy,captures/face_20251003_230559264728.jpg
20251003_230559386142,Neutral,captures/face_20251003_230559386142.jpg
20251003_230559507239,Happy,captures/face_20251003_230559507239.jpg
20251003_230559612831,Happy,captures/face_20251003_230559612831.jpg
20251003_230559745842,Neutral,captures/face_20251003_230559745842.jpg
20251003_230559889616,Neutral,captures/face_20251003_230559889616.jpg
20251003_230600001456,Fear,captures/face_20251003_230600001456.jpg
20251003_230600119278,Neutral,captures/face_20251003_230600119278.jpg
20251003_230600223286,Happy,captures/face_20251003_230600223286.jpg
20251003_230600338118,Fear,captures/face_20251003_230600338118.jpg
20251003_230600423430,Fear,captures/face_20251003_230600423430.jpg
20251003_230600546944,Neutral,captures/face_20251003_230600546944.jpg
20251003_230600663389,Neutral,captures/face_20251003_230600663389.jpg
20251003_230600786216,Neutral,captures/face_20251003_230600786216.jpg
20251003_230600884375,Neutral,captures/face_20251003_230600884375.jpg
20251003_230600982623,Neutral,captures/face_20251003_230600982623.jpg
20251003_230601072377,Neutral,captures/face_20251003_230601072377.jpg
20251003_230601189599,Happy,captures/face_20251003_230601189599.jpg
20251003_230601343803,Neutral,captures/face_20251003_230601343803.jpg
20251003_230601483744,Happy,captures/face_20251003_230601483744.jpg
20251003_230601610450,Happy,captures/face_20251003_230601610450.jpg
20251003_230601726737,Happy,captures/face_20251003_230601726737.jpg
20251003_230601838916,Happy,captures/face_20251003_230601838916.jpg
20251003_230601953396,Happy,captures/face_20251003_230601953396.jpg
20251003_230602091902,Happy,captures/face_20251003_230602091902.jpg
20251003_230602236647,Happy,captures/face_20251003_230602236647.jpg
20251003_230602350674,Happy,captures/face_20251003_230602350674.jpg
20251003_230602465105,Happy,captures/face_20251003_230602465105.jpg
20251003_230602566871,Happy,captures/face_20251003_230602566871.jpg
20251003_230602661193,Happy,captures/face_20251003_230602661193.jpg
20251003_230602762798,Happy,captures/face_20251003_230602762798.jpg
20251003_230602880863,Happy,captures/face_20251003_230602880863.jpg
20251003_230603022506,Fear,captures/face_20251003_230603022506.jpg
20251003_230603145471,Neutral,captures/face_20251003_230603145471.jpg
20251003_230603240846,Neutral,captures/face_20251003_230603240846.jpg
20251003_230603367910,Neutral,captures/face_20251003_230603367910.jpg
20251003_230603485433,Neutral,captures/face_20251003_230603485433.jpg
20251003_230603592834,Neutral,captures/face_20251003_230603592834.jpg
20251003_230603741204,Neutral,captures/face_20251003_230603741204.jpg
20251003_230603897709,Neutral,captures/face_20251003_230603897709.jpg
20251003_230604057428,Neutral,captures/face_20251003_230604057428.jpg
20251003_230604181406,Neutral,captures/face_20251003_230604181406.jpg
20251003_230604306391,Neutral,captures/face_20251003_230604306391.jpg
20251003_230604412224,Neutral,captures/face_20251003_230604412224.jpg
20251003_230604519345,Neutral,captures/face_20251003_230604519345.jpg
20251003_230604647503,Neutral,captures/face_20251003_230604647503.jpg
20251003_230604777021,Neutral,captures/face_20251003_230604777021.jpg
20251003_230604906607,Neutral,captures/face_20251003_230604906607.jpg
20251003_230605009522,Neutral,captures/face_20251003_230605009522.jpg
20251003_230605108290,Neutral,captures/face_20251003_230605108290.jpg
20251003_230605191479,Fear,captures/face_20251003_230605191479.jpg
20251003_230605296693,Fear,captures/face_20251003_230605296693.jpg
20251003_230605431438,Neutral,captures/face_20251003_230605431438.jpg
20251003_230605550288,Fear,captures/face_20251003_230605550288.jpg
20251003_230605647219,Fear,captures/face_20251003_230605647219.jpg
20251003_230605748254,Neutral,captures/face_20251003_230605748254.jpg
20251003_230605845158,Happy,captures/face_20251003_230605845158.jpg
20251003_230605947502,Happy,captures/face_20251003_230605947502.jpg
20251003_230606093479,Surprise,captures/face_20251003_230606093479.jpg
20251003_230606228356,Happy,captures/face_20251003_230606228356.jpg
20251003_230606360463,Happy,captures/face_20251003_230606360463.jpg
20251003_230606480192,Happy,captures/face_20251003_230606480192.jpg
20251003_230606605604,Happy,captures/face_20251003_230606605604.jpg
20251003_230606733026,Happy,captures/face_20251003_230606733026.jpg
20251003_230606845517,Happy,captures/face_20251003_230606845517.jpg
20251003_230606975533,Neutral,captures/face_20251003_230606975533.jpg
20251003_230607111726,Happy,captures/face_20251003_230607111726.jpg
20251003_230607254473,Happy,captures/face_20251003_230607254473.jpg
20251003_230607368811,Happy,captures/face_20251003_230607368811.jpg
20251003_230607486361,Happy,captures/face_20251003_230607486361.jpg
20251003_230607587062,Happy,captures/face_20251003_230607587062.jpg
20251003_230607697492,Happy,captures/face_20251003_230607697492.jpg
20251003_230607839413,Happy,captures/face_20251003_230607839413.jpg
